asignatura,año,convocatoria,url_examen,ruta_local,url_criterios,estado,sospecha_escaneado,notas
Matemáticas II,2020,ordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/20_exame_matematicas_2020.pdf,fuentes/matematicas_ii/2020/ordinaria/20_matematicas_ii_ordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2020,extraordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/20_exame_matematicas_2020.pdf,fuentes/matematicas_ii/2020/extraordinaria/20_matematicas_ii_extraordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2021,ordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/20_exame_matematicas_2021.pdf,fuentes/matematicas_ii/2021/ordinaria/20_matematicas_ii_ordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2021,extraordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/20_exame_matematicas_2021.pdf,fuentes/matematicas_ii/2021/extraordinaria/20_matematicas_ii_extraordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2022,ordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/20_exame_matematicas_2022.pdf,fuentes/matematicas_ii/2022/ordinaria/20_matematicas_ii_ordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2022,extraordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/20_exame_matematicas_2022.pdf,fuentes/matematicas_ii/2022/extraordinaria/20_matematicas_ii_extraordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2023,ordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/20_exame_matematicas_2023.pdf,fuentes/matematicas_ii/2023/ordinaria/20_matematicas_ii_ordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2023,extraordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/20_exame_matematicas_2023.pdf,fuentes/matematicas_ii/2023/extraordinaria/20_matematicas_ii_extraordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2024,ordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/20_exame_matematicas_2024.pdf,fuentes/matematicas_ii/2024/ordinaria/20_matematicas_ii_ordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Matemáticas II,2024,extraordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/20_exame_matematicas_2024.pdf,fuentes/matematicas_ii/2024/extraordinaria/20_matematicas_ii_extraordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2020,ordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/21_exame_bioloxia_2020.pdf,fuentes/bioloxia/2020/ordinaria/21_bioloxia_ordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2020,extraordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/21_exame_bioloxia_2020.pdf,fuentes/bioloxia/2020/extraordinaria/21_bioloxia_extraordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2021,ordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/21_exame_bioloxia_2021.pdf,fuentes/bioloxia/2021/ordinaria/21_bioloxia_ordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2021,extraordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/21_exame_bioloxia_2021.pdf,fuentes/bioloxia/2021/extraordinaria/21_bioloxia_extraordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2022,ordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/21_exame_bioloxia_2022.pdf,fuentes/bioloxia/2022/ordinaria/21_bioloxia_ordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2022,extraordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/21_exame_bioloxia_2022.pdf,fuentes/bioloxia/2022/extraordinaria/21_bioloxia_extraordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2023,ordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/21_exame_bioloxia_2023.pdf,fuentes/bioloxia/2023/ordinaria/21_bioloxia_ordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2023,extraordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/21_exame_bioloxia_2023.pdf,fuentes/bioloxia/2023/extraordinaria/21_bioloxia_extraordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2024,ordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/21_exame_bioloxia_2024.pdf,fuentes/bioloxia/2024/ordinaria/21_bioloxia_ordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Bioloxía,2024,extraordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/21_exame_bioloxia_2024.pdf,fuentes/bioloxia/2024/extraordinaria/21_bioloxia_extraordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2020,ordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/23_exame_fisica_2020.pdf,fuentes/fisica/2020/ordinaria/23_fisica_ordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2020,extraordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/23_exame_fisica_2020.pdf,fuentes/fisica/2020/extraordinaria/23_fisica_extraordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2021,ordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/23_exame_fisica_2021.pdf,fuentes/fisica/2021/ordinaria/23_fisica_ordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2021,extraordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/23_exame_fisica_2021.pdf,fuentes/fisica/2021/extraordinaria/23_fisica_extraordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2022,ordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/23_exame_fisica_2022.pdf,fuentes/fisica/2022/ordinaria/23_fisica_ordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2022,extraordinaria,https://ciug.gal/uploads/PDF/2022/Grupos_Traballo/23_exame_fisica_2022.pdf,fuentes/fisica/2022/extraordinaria/23_fisica_extraordinaria_2022.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2023,ordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/23_exame_fisica_2023.pdf,fuentes/fisica/2023/ordinaria/23_fisica_ordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2023,extraordinaria,https://ciug.gal/uploads/PDF/2023/Grupos_Traballo/23_exame_fisica_2023.pdf,fuentes/fisica/2023/extraordinaria/23_fisica_extraordinaria_2023.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2024,ordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/23_exame_fisica_2024.pdf,fuentes/fisica/2024/ordinaria/23_fisica_ordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Física,2024,extraordinaria,https://ciug.gal/uploads/PDF/2024/Grupos_Traballo/23_exame_fisica_2024.pdf,fuentes/fisica/2024/extraordinaria/23_fisica_extraordinaria_2024.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2020,ordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/24_exame_quimica_2020.pdf,fuentes/quimica/2020/ordinaria/24_quimica_ordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2020,extraordinaria,https://ciug.gal/uploads/PDF/2020/Grupos_Traballo/24_exame_quimica_2020.pdf,fuentes/quimica/2020/extraordinaria/24_quimica_extraordinaria_2020.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2021,ordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/24_exame_quimica_2021.pdf,fuentes/quimica/2021/ordinaria/24_quimica_ordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
Química,2021,extraordinaria,https://ciug.gal/uploads/PDF/2021/Grupos_Traballo/24_exame_quimica_2021.pdf,fuentes/quimica/2021/extraordinaria/24_quimica_extraordinaria_2021.pdf,,descargado,no,PDF original combinaba ordinaria+extraordinaria+modelo+criterios; se separó por convocatoria detectando el texto 'Convocatoria ordinaria/extraordinaria' en cada página. Páginas de modelo/criterios (sin ese marcador) se descartaron de estos archivos de examen.
